model,feature,epochs,learning_rate,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy
CNN_1,MFCC,50,0.1,0.094,2.298,0.098,2.258,0.085
CNN_1,MFCC,50,0.1,0.065,2.298,0.102,2.262,0.085
CNN_1,MFCC,50,0.1,0.064,2.295,0.108,2.258,0.116
CNN_1,MFCC,50,0.1,0.067,2.921,0.101,2.274,0.113
CNN_1,MFCC,50,0.1,0.072,2.289,0.082,2.286,0.110
CNN_1,MFCC,50,0.01,0.124,2.260,0.098,2.250,0.085
CNN_1,MFCC,50,0.01,0.123,2.259,0.102,2.254,0.085
CNN_1,MFCC,50,0.01,0.119,2.259,0.129,2.251,0.110
CNN_1,MFCC,50,0.01,0.628,1.029,0.386,1.992,0.389
CNN_1,MFCC,50,0.01,0.125,2.259,0.082,2.270,0.110
CNN_1,MFCC,50,0.001,0.887,0.335,0.581,1.934,0.594
CNN_1,MFCC,50,0.001,0.880,0.379,0.578,1.858,0.589
CNN_1,MFCC,50,0.001,0.889,0.337,0.508,1.791,0.575
CNN_1,MFCC,50,0.001,0.857,0.428,0.562,2.010,0.613
CNN_1,MFCC,50,0.001,0.871,0.382,0.509,1.870,0.571
CNN_1,MFCC,50,0.0001,0.670,0.992,0.481,1.670,0.481
CNN_1,MFCC,50,0.0001,0.760,0.758,0.522,1.409,0.541
CNN_1,MFCC,50,0.0001,0.824,0.558,0.489,1.507,0.563
CNN_1,MFCC,50,0.0001,0.768,0.719,0.525,1.513,0.568
CNN_1,MFCC,50,0.0001,0.806,0.613,0.475,1.596,0.559
