model,feature,epochs,learning_rate,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy
CNN_1,Spectrogram,50,0.001,0.46,1.49,0.32,2.57,0.30
CNN_1,Spectrogram,50,0.001,0.45,1.59,0.10,2.74,0.36
CNN_1,Spectrogram,50,0.001,0.69,0.94,0.33,2.10,0.43
