model,feature,epochs,learning_rate,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy
CNN_2,Spectrogram,50,0.1,0.214,2.648,0.218,2.212,0.097
CNN_2,Spectrogram,50,0.1,0.156,2.086,0.191,2.297,0.085
CNN_2,Spectrogram,50,0.1,0.179,2.085,0.175,2.323,0.085
CNN_2,Spectrogram,50,0.1,0.156,2.200,0.093,2.341,0.183
CNN_2,Spectrogram,50,0.1,0.136,2.114,0.101,2.454,0.085
CNN_2,Spectrogram,50,0.01,0.250,1.920,0.222,2.066,0.035
CNN_2,Spectrogram,50,0.01,0.261,1.922,0.226,5.688,0.167
CNN_2,Spectrogram,50,0.01,0.269,1.940,0.144,2.457,0.269
CNN_2,Spectrogram,50,0.01,0.367,1.873,0.125,2.622,0.226
CNN_2,Spectrogram,50,0.01,0.140,2.115,0.089,2.350,0.117
CNN_2,Spectrogram,50,0.001,0.617,1.236,0.277,1.935,0.125
CNN_2,Spectrogram,50,0.001,0.468,1.636,0.269,2.266,0.492
CNN_2,Spectrogram,50,0.001,0.515,1.535,0.078,2.953,0.417
CNN_2,Spectrogram,50,0.001,0.390,1.822,0.277,2.745,0.484
CNN_2,Spectrogram,50,0.001,0.507,1.622,0.203,2.720,0.500
CNN_2,Spectrogram,50,0.0001,0.675,1.042,0.312,1.976,0.191
CNN_2,Spectrogram,50,0.0001,0.542,1.568,0.320,1.967,0.414
CNN_2,Spectrogram,50,0.0001,0.437,1.670,0.125,2.907,0.464
CNN_2,Spectrogram,50,0.0001,0.355,1.832,0.109,2.508,0.503
CNN_2,Spectrogram,50,0.0001,0.460,1.747,0.195,2.539,0.480
